Investor name,Website,Global HQ
Akatsuki,https://en.aktsk.jp/,
Alibaba Capital Partners,https://www.alibabacapital.com/project/index.htm,"Hangzhou, Zhejiang, China"
Allison Wood Ventures,http://allisonwoodventures.com,
Amazon Alexa Fund,http://www.alexafund.com/,"Seattle, Washington, United States"
American Express Ventures,http://www.amexventures.com,"Palo Alto, California, United States"
AmorePacific Ventures,http://ventures.amorepacific.com,"Seoul, Seoul-t'ukpyolsi, South Korea"
ANZ Capital,http://anz-capital.com/,"New York, USA"
Anzi Ventures,https://anz.com,Australia
Applied Ventures,http://www.appliedmaterials.com/company/applied-ventures,"Santa Clara, California, United States"
Archer Gray,http://www.archergray.com/,"New York, New York, United States"
Arkwright X,http://www.arkwrightx.no,"Oslo, Oslo, Norway"
Asahi Medialab Ventures,https://asahimedialab.vc/english/,"Tokyo, Tokyo, Japan"
Ascension Ventures,http://www.ascensionventures.org/,"Clarkton, Missouri, United States"
Aschendorff Next,https://www.aschendorff-next.de/,"Münster, Nordrhein-Westfalen, Germany"
Assurant Growth Investing,http://www.assurantgrowthinvesting.com/,"Atlanta, Georgia, United States"
Ataria Ventures,https://www.atariavc.com/,"Palo Alto, California, United States"
Audi Electronics Venture,http://www.audi-electronics-venture.de,"Gaimersheim, Bayern, Germany"
Axel Johnson,http://www.axeljohnson.com,"New York, New York, United States"
Bauer Venture Partners,http://www.bauerventurepartners.vc,"Hamburg, Hamburg, Germany"
Baxalta Ventures,http://www.baxalta.co.uk/research-development/baxalta-ventures.page?,"Cambridge, Massachusetts, United States"
Baxter Ventures,http://www.baxter.com/inside-baxter/science/programs/baxter-ventures.page?scroll=tab-navigation,"Deerfield, Illinois, United States"
BayernLB Capital Partner,http://bayernlb-cp.de/,
BayWa r.e. Energy Ventures,https://energy-ventures.baywa-re.com/,"Munich, Bayern, Germany"
BDMI,https://www.bdmifund.com/,"New York, New York, United States"
Beacon Venture Capital,http://beaconvc.fund,"Bangkok, Krung Thep, Thailand"
Beenos,https://beenos.com/en/,
Beijing Cultural Center Fund,http://bccf.com.cn/#,"Beijing, Beijing, China"
Belcorp Ventures,https://www.belcorpventures.com/,"Lima, Lima, Peru"
Berliner Volksbank Ventures,http://www.volksbank-ventures.berlin/,"Berlin, Berlin, Germany"
Bertelsmann Asia Investments,http://www.baifund.com/,"Beijing, Beijing, China"
Bertelsmann India Investments,http://www.biifund.com,"Abcoude, Utrecht, The Netherlands"
Beyond Ventures,http://www.beyondventures.hk,
Bialla Venture Partners,https://www.bialla.com/bialla-venture-partners,"Severna Park, Maryland, United States"
BID Invest,http://www.idbinvest.org/es/,
Big Issue Invest,http://www.bigissueinvest.com,"London, England, United Kingdom"
BillerudKorsnäs Venture,https://www.billerudkorsnas.com/venture,"Solna, Stockholms Lan, Sweden"
BlueBox Ventures,http://www.blueboxmx.com,
BlueCross BlueShield Venture Partners,http://www.bcbsvp.com,"Chicago, Illinois, United States"
Bonnier Ventures,https://www.bonnierventures.com/,"Stockholm, Stockholms Lan, Sweden"
Bose Ventures,https://bose.ventures/,"Framingham, Massachusetts, United States"
BrightEdge Fund,https://brightedgefund.org/,"Atlanta, Georgia, United States"
Broadleaf,https://www.broadleaf.co.jp/,
