Investor name,Website,Global HQ,,,,
Rakuten Capital,https://capital.rakuten.com/,"Setagaya, Tokyo, Japan",,,,
Randstad Innovation Fund,http://www.randstadinnovationfund.com,"Amsterdam, Noord-Holland, The Netherlands",,,,
RBC Venture Partners,http://www.rbc.com/vp,"Toronto, Ontario, Canada",,,,
Reinventure Group by Westpac Banking,https://reinventure.com.au/,"Sydney, New South Wales, Australia",,,,
Reliance Venture Asset Management,http://www.relianceventure.com/,"Mumbai, Maharashtra, India",,,,
Rev1 Ventures,http://www.rev1ventures.com,"Columbus, Ohio, United States",,,,
Ringier Digital Ventures,http://www.ringier.com/en/about-ringier/activities/ventures,"Zürich, Zurich, Switzerland",,,,
Ringleader Ventures,http://www.ringleaderventures.com,"Elmhurst, Illinois, United States",,,,
RTL Ventures,http://www.rtlventures.nl/,"Hilversum, Noord-Holland, The Netherlands",,,,
RVC InfraFund,http://www.rvcinfra.com/en/,"Moscow, Moscow City, Russian Federation",,,,
SAIC Venture Capital,https://saicvc.com/,"Las Vegas, Nevada, United States",,,,
Samrat Investments,https://www.samratfinancialbanking.com/funding,"Manali, Himachal Pradesh, India",,,,
LG Technology Ventures,http://www.lgtechventures.com/,"Santa Clara, California, United States",,,,
